GEOID,poverty_estimate,poverty_population,pctpov,majority,plurality,white,black,asian,american_indian,hispanic,urban_rural
16041,1394,13423,10.385159800342695,White,White,91.08,0.26,0.15,0.01,6.75,4
16043,1613,12444,12.962070073931212,White,White,84.85,0.15,0.18,0.63,12.51,5
16045,2916,17183,16.970261304777978,White,White,87.74,0.12,0.57,0,8.37,3
16047,2443,15017,16.26822934008124,White,White,67.86,0.09,0.92,0.22,29.07,6
16049,2268,15816,14.33990895295903,White,White,90.96,0.14,0.4,0.02,3.4,6
16051,1953,28495,6.853834005965958,White,White,86.74,0,0.45,0.05,10.53,4
16053,4478,23538,19.024556037046477,White,White,61.5,0.15,0.43,0.45,36.09,5
16055,18244,155412,11.739119244331198,White,White,90.63,0.3,0.84,0.1,4.62,4
16057,6571,36351,18.07653159472917,White,White,88.7,1.16,2.26,0.05,4.37,5
16059,938,7724,12.14396685655101,White,White,93.28,0.04,0,0.1,3.42,6
16061,614,3793,16.187714210387554,White,White,83.82,0.13,1.38,0.03,4.56,6
16063,641,5291,12.114912114912114,White,White,66.13,0,0.41,0,30.73,5
16065,11937,38681,30.86011219978801,White,White,88.3,0.17,1.56,0.16,7.58,5
16067,3428,20499,16.722766964242158,White,White,62.01,0.15,0.27,0,35.27,5
16069,5215,39130,13.327370304114492,White,White,86.96,0.36,0.77,0.01,3.93,4
16071,495,4356,11.363636363636363,White,White,93.41,0.11,0,0,4.49,6
16073,1832,11385,16.09134826526131,White,White,68.5,0.53,0.11,0,26.24,3
16075,3062,22927,13.355432459545513,White,White,78.42,0.08,0.86,0.06,17.34,5
16077,871,7614,11.439453638035198,White,White,61.32,0.08,0,0.04,34.1,6
16079,2398,12367,19.390312929570634,White,White,91.2,0.34,0.07,0,3.56,6
16081,512,11399,4.491622072111589,White,White,81.17,0,0,0,16.87,5
16083,11975,83706,14.306023463073137,White,White,79.04,0.81,1.71,0.05,16.37,5
