projectIdentifier,subappType,subapplicationType
DR-4325-0012-F,HMGP 5% Initiative,Warning Systems
DR-4273-0022-R,Regular Project,Generators
DR-4085-0020-P,Planning,Mitigation Planning
DR-4085-0019-P,Planning,Mitigation Planning
DR-4247-0024-R,Regular Project,Safe Room/Wind Shelter
DR-4120-0002-P,Planning,Mitigation Planning
DR-4120-0001-P,Planning,Mitigation Planning
DR-4252-0001-F,HMGP 5% Initiative,Generators
DR-4316-0002-P,Planning,Mitigation Planning
DR-4316-0003-P,Planning,Mitigation Planning
DR-4247-0008-F,HMGP 5% Initiative,Generators
DR-4298-0004-F,HMGP 5% Initiative,Generators
DR-4110-0009-P,Planning,Mitigation Planning
DR-4274-0005-R,Regular Project,Generators
DR-4247-0021-R,Regular Project,Safe Room/Wind Shelter
DR-4298-0023-F,HMGP 5% Initiative,Generators
DR-4298-0011-R,Regular Project,Generators
DR-4247-0020-F,HMGP 5% Initiative,Generators
DR-4247-0015-F,HMGP 5% Initiative,Generators
DR-4247-0018-F,HMGP 5% Initiative,Warning Systems
DR-4315-0003-F,HMGP 5% Initiative,Warning Systems
DR-4298-0001-P,Planning,Mitigation Planning
DR-4315-0007-F,HMGP 5% Initiative,Warning Systems
DR-4315-0005-F,HMGP 5% Initiative,Warning Systems
DR-4247-0025-R,Regular Project,Safe Room/Wind Shelter
DR-4110-0002-P,Planning,Mitigation Planning
DR-4324-0002-R,Regular Project,Safe Room/Wind Shelter
DR-4298-0009-R,Regular Project,Generators
DR-4298-0008-R,Regular Project,Safe Room/Wind Shelter
DR-4274-0002-F,HMGP 5% Initiative,Generators
DR-4298-0006-F,HMGP 5% Initiative,Generators
DR-4298-0002-P,Planning,Mitigation Planning
DR-4247-0003-F,HMGP 5% Initiative,Warning Systems
DR-4247-0013-R,Regular Project,Safe Room/Wind Shelter
DR-4110-0019-F,HMGP 5% Initiative,Generators
DR-4275-0001-F,HMGP 5% Initiative,Other
DR-4305-0005-P,Planning,Mitigation Planning
DR-4305-0008-P,Planning,Mitigation Planning
DR-4305-0006-P,Planning,Mitigation Planning
DR-4305-0011-P,Planning,Mitigation Planning
DR-4305-0014-P,Planning,Mitigation Planning
DR-4305-0012-P,Planning,Mitigation Planning
DR-4444-0001-F,HMGP 5% Initiative,Warning Systems
DR-4305-0020-P,Planning,Mitigation Planning
DR-4256-0004-F,HMGP 5% Initiative,Generators
DR-4256-0003-F,HMGP 5% Initiative,Generators
DR-4256-0015-F,HMGP 5% Initiative,Warning Systems
DR-4166-0048-F,HMGP 5% Initiative,Education and Awareness
DR-4166-0064-F,HMGP 5% Initiative,Education and Awareness
DR-4231-0008-R,Regular Project,Generators
DR-4166-0073-P,Planning,Mitigation Planning
DR-4165-0014-F,HMGP 5% Initiative,Warning Systems
DR-4166-0040-F,HMGP 5% Initiative,Education and Awareness
DR-4166-0031-P,Planning,Mitigation Planning
DR-4262-0012-P,Planning,Mitigation Planning
DR-4303-0006-R,Regular Project,Generators
DR-4303-0004-R,Regular Project,Generators
DR-4244-0004-F,HMGP 5% Initiative,"Feasibility, Engineering, and Design Studies"
DR-4158-0005-R,Regular Project,Seismic Retrofit
DR-4218-0002-R,Regular Project,Acquisitions
DR-4359-0009-R,Regular Project,Generators
DR-4218-0012-P,Planning,Mitigation Planning
DR-4188-0010-P,Planning,Mitigation Planning
DR-4314-0005-R,Regular Project,Generators
DR-4196-0014-F,HMGP 5% Initiative,Generators
DR-4218-0005-F,HMGP 5% Initiative,Warning Systems
DR-4387-0004-F,HMGP 5% Initiative,Warning Systems
DR-4251-0024-R,Regular Project,Safe Room/Wind Shelter
DR-4251-0018-R,Regular Project,Safe Room/Wind Shelter
DR-4218-0007-F,HMGP 5% Initiative,Generators
DR-4167-0007-F,HMGP 5% Initiative,Generators
DR-4251-0019-R,Regular Project,Safe Room/Wind Shelter
DR-4216-0007-F,HMGP 5% Initiative,Other Equipment
DR-4244-0003-R,Regular Project,Shoreline Stabilization
DR-4196-0011-F,HMGP 5% Initiative,Generators
DR-4196-0012-F,HMGP 5% Initiative,Generators
DR-4248-0007-F,HMGP 5% Initiative,Warning Systems
DR-4248-0005-F,HMGP 5% Initiative,Warning Systems
DR-4091-0004-P,Planning,Mitigation Planning
DR-4222-0043-R,Regular Project,Safe Room/Wind Shelter
DR-4091-0007-R,Regular Project,Generators
DR-4091-0005-F,HMGP 5% Initiative,Warning Systems
DR-4091-0025-R,Regular Project,Acquisitions
DR-4091-0008-R,Regular Project,Generators
DR-4091-0006-F,HMGP 5% Initiative,Warning Systems
DR-4419-0062-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0031-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0015-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0086-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0108-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0114-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0113-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0012-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0004-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0107-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0006-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0032-R,Regular Project,Safe Room/Wind Shelter
DR-4239-0010-P,Planning,Mitigation Planning
DR-4419-0104-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0037-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0115-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0095-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0105-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0106-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0071-R,Regular Project,Safe Room/Wind Shelter
DR-4235-0007-R,Regular Project,Wind Retrofit
DR-4290-0002-R,Regular Project,Acquisitions
DR-4337-0157-R,Regular Project,Wind Retrofit
DR-4337-0043-R,Regular Project,Generators
DR-4217-0011-P,Planning,Mitigation Planning
DR-4337-0171-R,Regular Project,Generators
DR-4239-0003-F,HMGP 5% Initiative,Generators
DR-4440-0003-P,Planning,Mitigation Planning
DR-4268-0018-R,Regular Project,Safe Room/Wind Shelter
DR-4087-0002-R,Regular Project,Elevations
DR-4268-0020-R,Regular Project,Generators
DR-4284-0026-F,HMGP 5% Initiative,Warning Systems
DR-4241-0028-R,Regular Project,Generators
DR-4217-0017-F,HMGP 5% Initiative,Generators
DR-4337-0020-R,Regular Project,Generators
DR-4295-0004-R,Regular Project,Generators
DR-4165-0035-R,Regular Project,Generators
DR-4165-0005-R,Regular Project,Generators
DR-4283-0049-R,Regular Project,Generators
DR-4283-0016-R,Regular Project,Wind Retrofit
DR-4283-0024-R,Regular Project,Generators
DR-4283-0065-R,Regular Project,Generators
DR-4283-0072-R,Regular Project,Generators
DR-4283-0073-R,Regular Project,Generators
DR-4283-0083-R,Regular Project,Generators
DR-4283-0014-R,Regular Project,Wind Retrofit
DR-4280-0016-R,Regular Project,Generators
DR-4283-0056-R,Regular Project,Generators
DR-4429-0004-F,HMGP 5% Initiative,Warning Systems
DR-4283-0078-R,Regular Project,Generators
DR-4283-0048-R,Regular Project,Wind Retrofit
DR-4283-0043-R,Regular Project,Wind Retrofit
DR-4283-0019-R,Regular Project,Wind Retrofit
DR-4284-0027-F,HMGP 5% Initiative,Warning Systems
DR-4280-0018-R,Regular Project,Generators
DR-4284-0046-F,HMGP 5% Initiative,Warning Systems
DR-4337-0008-R,Regular Project,Other Equipment
DR-4280-0020-R,Regular Project,Generators
DR-4284-0035-F,HMGP 5% Initiative,Warning Systems
DR-4166-0077-F,HMGP 5% Initiative,Warning Systems
DR-4267-0004-P,Planning,Mitigation Planning
DR-4267-0006-P,Planning,Mitigation Planning
DR-4321-0006-F,HMGP 5% Initiative,Warning Systems
DR-4321-0004-F,HMGP 5% Initiative,Warning Systems
DR-4166-0069-F,HMGP 5% Initiative,Warning Systems
DR-4165-0018-F,HMGP 5% Initiative,Warning Systems
DR-4267-0002-P,Planning,Mitigation Planning
DR-4267-0005-P,Planning,Mitigation Planning
DR-4267-0003-P,Planning,Mitigation Planning
DR-4321-0002-F,HMGP 5% Initiative,Warning Systems
DR-4321-0005-F,HMGP 5% Initiative,Warning Systems
DR-4214-0011-P,Planning,Mitigation Planning
DR-4214-0008-P,Planning,Mitigation Planning
DR-4214-0010-P,Planning,Mitigation Planning
DR-4214-0012-P,Planning,Mitigation Planning
DR-4255-0010-P,Planning,Mitigation Planning
DR-4214-0004-P,Planning,Mitigation Planning
DR-4214-0003-P,Planning,Mitigation Planning
DR-4214-0019-P,Planning,Mitigation Planning
DR-4214-0002-P,Planning,Mitigation Planning
DR-4299-0013-F,HMGP 5% Initiative,Warning Systems
DR-4299-0022-F,HMGP 5% Initiative,Warning Systems
DR-4350-0006-R,Regular Project,Generators
DR-4221-0006-R,Regular Project,Generators
DR-4261-0012-F,HMGP 5% Initiative,Warning Systems
DR-4299-0003-F,HMGP 5% Initiative,Generators
DR-4299-0015-P,Planning,Mitigation Planning
DR-4299-0010-F,HMGP 5% Initiative,Warning Systems
DR-4276-0002-P,Planning,Mitigation Planning
DR-4299-0007-F,HMGP 5% Initiative,Warning Systems
DR-4373-0003-F,HMGP 5% Initiative,Warning Systems
DR-4373-0007-R,Regular Project,Safe Room/Wind Shelter
DR-4203-0003-F,HMGP 5% Initiative,Education and Awareness
DR-4299-0035-R,Regular Project,Safe Room/Wind Shelter
DR-4261-0006-F,HMGP 5% Initiative,Generators
DR-4278-0003-F,HMGP 5% Initiative,Generators
DR-4323-0004-R,Regular Project,Generators
DR-4323-0010-F,HMGP 5% Initiative,Warning Systems
DR-4346-0023-R,Regular Project,Generators
DR-4221-0004-P,Planning,Mitigation Planning
DR-4323-0002-P,Planning,Mitigation Planning
DR-4392-0002-F,HMGP 5% Initiative,Warning Systems
DR-4386-0004-F,HMGP 5% Initiative,Warning Systems
DR-4323-0009-F,HMGP 5% Initiative,Warning Systems
DR-4299-0052-R,Regular Project,Safe Room/Wind Shelter
DR-4276-0005-P,Planning,Mitigation Planning
DR-4329-0006-P,Planning,Mitigation Planning
DR-4301-0017-P,Planning,Mitigation Planning
DR-4329-0007-P,Planning,Mitigation Planning
DR-4301-0016-P,Planning,Mitigation Planning
DR-4301-0021-P,Planning,Mitigation Planning
DR-4329-0004-P,Planning,Mitigation Planning
DR-4329-0003-P,Planning,Mitigation Planning
DR-4292-0004-R,Regular Project,Generators
DR-4301-0018-F,HMGP 5% Initiative,Generators
DR-4329-0005-P,Planning,Mitigation Planning
DR-4301-0022-P,Planning,Mitigation Planning
DR-4301-0020-P,Planning,Mitigation Planning
DR-4254-0005-P,Planning,Mitigation Planning
DR-4254-0003-P,Planning,Mitigation Planning
DR-4254-0001-R,Regular Project,Safe Room/Wind Shelter
DR-4254-0006-R,Regular Project,Safe Room/Wind Shelter
DR-4254-0004-P,Planning,Mitigation Planning
DR-4222-0002-R,Regular Project,Safe Room/Wind Shelter
DR-4091-0002-P,Planning,Mitigation Planning
DR-4222-0009-F,HMGP 5% Initiative,Warning Systems
DR-4222-0007-F,HMGP 5% Initiative,Warning Systems
DR-4091-0003-F,HMGP 5% Initiative,Warning Systems
DR-4222-0041-F,HMGP 5% Initiative,Other Equipment
DR-4222-0027-P,Planning,Mitigation Planning
DR-4222-0012-P,Planning,Mitigation Planning
DR-4222-0040-F,HMGP 5% Initiative,Warning Systems
DR-4089-0002-P,Planning,Mitigation Planning
DR-4222-0028-F,HMGP 5% Initiative,Generators
DR-4222-0025-F,HMGP 5% Initiative,Generators
DR-4222-0033-F,HMGP 5% Initiative,Warning Systems
DR-4222-0029-F,HMGP 5% Initiative,Generators
DR-4222-0024-F,HMGP 5% Initiative,Generators
DR-4222-0036-F,HMGP 5% Initiative,Generators
DR-4222-0035-F,HMGP 5% Initiative,Generators
DR-4222-0023-F,HMGP 5% Initiative,Generators
DR-4222-0034-F,HMGP 5% Initiative,Generators
DR-4222-0015-F,HMGP 5% Initiative,Warning Systems
DR-4222-0016-F,HMGP 5% Initiative,Warning Systems
DR-4222-0017-F,HMGP 5% Initiative,Warning Systems
DR-4222-0022-F,HMGP 5% Initiative,Generators
DR-4222-0021-F,HMGP 5% Initiative,Generators
DR-4222-0019-F,HMGP 5% Initiative,Generators
DR-4222-0020-F,HMGP 5% Initiative,Generators
DR-4223-0049-F,HMGP 5% Initiative,Warning Systems
DR-4438-0002-F,HMGP 5% Initiative,Generators
DR-4223-0048-F,HMGP 5% Initiative,Warning Systems
DR-4223-0076-F,HMGP 5% Initiative,Generators
DR-4223-0074-F,HMGP 5% Initiative,Mitigation Planning
DR-4223-0071-P,Planning,Mitigation Planning
DR-4223-0001-P,Planning,Mitigation Planning
DR-4223-0061-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0056-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0020-R,Regular Project,Safe Room/Wind Shelter
DR-4344-0120-R,Regular Project,Generators
DR-4240-0010-P,Planning,Mitigation Planning
DR-4353-0002-R,Regular Project,Wildfire Mitigation
DR-4217-0014-F,HMGP 5% Initiative,Warning Systems
DR-4235-0008-F,HMGP 5% Initiative,Generators
DR-4240-0018-P,Planning,Mitigation Planning
DR-4290-0003-P,Planning,Mitigation Planning
DR-4245-0005-P,Planning,Mitigation Planning
DR-4382-0061-F,HMGP 5% Initiative,Mitigation Planning
DR-4344-0002-R,Regular Project,Landslide Stabilization
DR-4283-0013-R,Regular Project,Wind Retrofit
DR-4280-0010-R,Regular Project,Generators
DR-4284-0054-F,HMGP 5% Initiative,Warning Systems
DR-4419-0003-R,Regular Project,Safe Room/Wind Shelter
DR-4429-0012-F,HMGP 5% Initiative,Warning Systems
DR-4317-0008-R,Regular Project,Safe Room/Wind Shelter
DR-4344-0124-P,Planning,Mitigation Planning
DR-4353-0001-R,Regular Project,Shoreline Stabilization
DR-4283-0010-R,Regular Project,Wind Retrofit
DR-4240-0052-P,Planning,Mitigation Planning
DR-4344-0062-F,HMGP 5% Initiative,Warning Systems
DR-4245-0020-P,Planning,Mitigation Planning
DR-4337-0223-R,Regular Project,Generators
DR-4317-0010-F,HMGP 5% Initiative,Warning Systems
DR-4337-0098-R,Regular Project,Generators
DR-4337-0058-R,Regular Project,Generators
DR-4240-0038-F,HMGP 5% Initiative,Generators
DR-4240-0039-F,HMGP 5% Initiative,Generators
DR-4317-0021-R,Regular Project,Safe Room/Wind Shelter
DR-4337-0096-R,Regular Project,Generators
DR-4337-0063-R,Regular Project,Generators
DR-4240-0050-R,Regular Project,Acquisitions
DR-4429-0005-F,HMGP 5% Initiative,Warning Systems
DR-4337-0236-R,Regular Project,Generators
DR-4240-0007-P,Planning,Mitigation Planning
DR-4240-0042-P,Planning,Mitigation Planning
DR-4344-0015-P,Planning,Mitigation Planning
DR-4240-0041-F,HMGP 5% Initiative,Generators
DR-4317-0029-R,Regular Project,Safe Room/Wind Shelter
DR-4245-0003-P,Planning,Mitigation Planning
DR-4240-0035-P,Planning,Mitigation Planning
DR-4317-0032-R,Regular Project,Safe Room/Wind Shelter
DR-4245-0001-P,Planning,Mitigation Planning
DR-4235-0001-R,Regular Project,Wind Retrofit
DR-4235-0002-R,Regular Project,Wind Retrofit
DR-4240-0016-P,Planning,Mitigation Planning
DR-4280-0005-R,Regular Project,Generators
DR-4317-0004-F,HMGP 5% Initiative,Warning Systems
DR-4344-0079-R,Regular Project,Generators
DR-4317-0003-F,HMGP 5% Initiative,Warning Systems
DR-4240-0017-P,Planning,Mitigation Planning
DR-4337-0027-R,Regular Project,Generators
DR-4240-0044-F,HMGP 5% Initiative,Generators
DR-4240-0045-F,HMGP 5% Initiative,Generators
DR-4116-0020-F,HMGP 5% Initiative,Education and Awareness
DR-4317-0005-F,HMGP 5% Initiative,Warning Systems
DR-4353-0046-P,Planning,Mitigation Planning
DR-4317-0006-R,Regular Project,Safe Room/Wind Shelter
DR-4317-0039-R,Regular Project,Safe Room/Wind Shelter
DR-4295-0006-R,Regular Project,Wind Retrofit
DR-4317-0028-R,Regular Project,Safe Room/Wind Shelter
DR-4286-0018-F,HMGP 5% Initiative,Education and Awareness
DR-4240-0001-R,Regular Project,Utility and Infrastructure Protection
DR-4344-0086-P,Planning,Mitigation Planning
DR-4344-0125-P,Planning,Mitigation Planning
DR-4337-0142-R,Regular Project,Wind Retrofit
DR-4280-0009-R,Regular Project,Generators
DR-4240-0040-F,HMGP 5% Initiative,Generators
DR-4337-0022-R,Regular Project,Generators
DR-4272-0003-P,Planning,Mitigation Planning
DR-4272-0007-P,Planning,Mitigation Planning
DR-4165-0012-P,Planning,Mitigation Planning
DR-4165-0011-P,Planning,Mitigation Planning
DR-4165-0003-P,Planning,Mitigation Planning
DR-4214-0013-P,Planning,Mitigation Planning
DR-4199-0006-P,Planning,Mitigation Planning
DR-4259-0008-F,HMGP 5% Initiative,Warning Systems
DR-4415-0004-F,HMGP 5% Initiative,Warning Systems
DR-4366-0002-R,Regular Project,Advanced Assistance
DR-4223-0046-F,HMGP 5% Initiative,Generators
DR-4223-0045-F,HMGP 5% Initiative,Generators
DR-4283-0042-R,Regular Project,Wind Retrofit
DR-4429-0015-F,HMGP 5% Initiative,Warning Systems
DR-4284-0028-F,HMGP 5% Initiative,Warning Systems
DR-4245-0018-P,Planning,Mitigation Planning
DR-4217-0018-F,HMGP 5% Initiative,Warning Systems
DR-4245-0021-P,Planning,Mitigation Planning
DR-4086-0353-F,HMGP 5% Initiative,Generators
DR-4086-0454-R,Regular Project,Generators
DR-4086-0319-F,HMGP 5% Initiative,Generators
DR-4086-0137-R,Regular Project,Generators
DR-4086-0320-F,HMGP 5% Initiative,Generators
DR-4086-0323-F,HMGP 5% Initiative,Generators
DR-4086-0311-F,HMGP 5% Initiative,Generators
DR-4086-0636-F,HMGP 5% Initiative,Generators
DR-4086-0185-R,Regular Project,Generators
DR-4086-0354-F,HMGP 5% Initiative,Generators
DR-4086-0234-R,Regular Project,Generators
DR-4086-0277-R,Regular Project,Generators
DR-4086-0312-F,HMGP 5% Initiative,Generators
DR-4086-0288-R,Regular Project,Generators
DR-4086-0387-F,HMGP 5% Initiative,Generators
DR-4086-0132-F,HMGP 5% Initiative,Generators
DR-4086-0314-F,HMGP 5% Initiative,Generators
DR-4086-0642-R,Regular Project,Generators
DR-4086-0611-R,Regular Project,Generators
DR-4086-0608-R,Regular Project,Generators
DR-4086-0171-R,Regular Project,Generators
DR-4086-0015-P,Planning,Mitigation Planning
DR-4086-0313-F,HMGP 5% Initiative,Generators
DR-4086-0189-R,Regular Project,Generators
DR-4086-0182-R,Regular Project,Generators
DR-4086-0596-P,Planning,Mitigation Planning
DR-4086-0485-R,Regular Project,Generators
DR-4086-0214-R,Regular Project,Generators
DR-4086-0517-R,Regular Project,Generators
DR-4086-0133-R,Regular Project,Generators
DR-4086-0211-R,Regular Project,Generators
DR-4086-0539-F,HMGP 5% Initiative,Generators
DR-4086-0631-F,HMGP 5% Initiative,Generators
DR-4086-0086-F,HMGP 5% Initiative,Generators
DR-4086-0450-R,Regular Project,Generators
DR-4086-0435-F,HMGP 5% Initiative,Generators
DR-4086-0630-R,Regular Project,Generators
DR-4086-0639-R,Regular Project,Generators
DR-4086-0270-F,HMGP 5% Initiative,Generators
DR-4086-0463-F,HMGP 5% Initiative,Generators
DR-4086-0012-P,Planning,Mitigation Planning
DR-4086-0143-R,Regular Project,Generators
DR-4086-0149-R,Regular Project,Generators
DR-4086-0221-R,Regular Project,Generators
DR-4086-0296-F,HMGP 5% Initiative,Generators
DR-4086-0257-R,Regular Project,Generators
DR-4086-0056-P,Planning,Mitigation Planning
DR-4086-0622-R,Regular Project,Generators
DR-4086-0358-F,HMGP 5% Initiative,Generators
DR-4086-0136-R,Regular Project,Generators
DR-4086-0537-R,Regular Project,Generators
DR-4086-0183-R,Regular Project,Generators
DR-4086-0279-R,Regular Project,Generators
DR-4086-0620-R,Regular Project,Generators
DR-4086-0416-R,Regular Project,Generators
DR-4086-0585-F,HMGP 5% Initiative,Generators
DR-4086-0008-P,Planning,Mitigation Planning
DR-4086-0638-R,Regular Project,Generators
DR-4086-0447-R,Regular Project,Generators
DR-4086-0462-F,HMGP 5% Initiative,Generators
DR-4086-0499-R,Regular Project,Generators
DR-4086-0009-P,Planning,Mitigation Planning
DR-4086-0268-R,Regular Project,Generators
DR-4086-0548-R,Regular Project,Generators
DR-4086-0401-F,HMGP 5% Initiative,Generators
DR-4086-0197-R,Regular Project,Generators
DR-4086-0011-P,Planning,Mitigation Planning
DR-4086-0571-R,Regular Project,Generators
DR-4086-0010-P,Planning,Mitigation Planning
DR-4086-0610-R,Regular Project,Generators
DR-4086-0446-R,Regular Project,Generators
DR-4086-0176-R,Regular Project,Generators
DR-4086-0361-R,Regular Project,Generators
DR-4086-0251-R,Regular Project,Generators
DR-4086-0260-R,Regular Project,Generators
DR-4086-0254-R,Regular Project,Generators
DR-4086-0327-F,HMGP 5% Initiative,Generators
DR-4086-0007-P,Planning,Mitigation Planning
DR-4086-0465-R,Regular Project,Generators
DR-4086-0342-R,Regular Project,Generators
DR-4086-0140-R,Regular Project,Generators
DR-4086-0425-R,Regular Project,Generators
DR-4086-0532-R,Regular Project,Generators
DR-4086-0295-R,Regular Project,Other Equipment
DR-4086-0292-R,Regular Project,Generators
DR-4086-0437-F,HMGP 5% Initiative,Generators
DR-4086-0419-R,Regular Project,Generators
DR-4086-0359-R,Regular Project,Generators
DR-4086-0386-R,Regular Project,Generators
DR-4086-0609-R,Regular Project,Generators
DR-4086-0223-R,Regular Project,Generators
DR-4086-0348-R,Regular Project,Generators
DR-4086-0125-R,Regular Project,Generators
DR-4086-0330-F,HMGP 5% Initiative,Generators
DR-4086-0160-R,Regular Project,Generators
DR-4086-0253-R,Regular Project,Generators
DR-4086-0156-R,Regular Project,Generators
DR-4086-0336-F,HMGP 5% Initiative,Generators
DR-4086-0522-R,Regular Project,Generators
DR-4086-0606-R,Regular Project,Generators
DR-4086-0495-R,Regular Project,Generators
DR-4086-0633-R,Regular Project,Generators
DR-4086-0632-R,Regular Project,Generators
DR-4086-0641-R,Regular Project,Generators
DR-4086-0394-R,Regular Project,Generators
DR-4086-0158-R,Regular Project,Generators
DR-4086-0310-F,HMGP 5% Initiative,Generators
DR-4086-0349-R,Regular Project,Generators
DR-4086-0194-R,Regular Project,Generators
DR-4086-0357-F,HMGP 5% Initiative,Generators
DR-4086-0384-R,Regular Project,Generators
DR-4086-0289-R,Regular Project,Generators
DR-4086-0398-R,Regular Project,Generators
DR-4086-0231-R,Regular Project,Generators
DR-4086-0155-R,Regular Project,Generators
DR-4086-0421-R,Regular Project,Generators
DR-4086-0216-R,Regular Project,Generators
DR-4086-0331-F,HMGP 5% Initiative,Generators
DR-4086-0227-R,Regular Project,Generators
DR-4086-0338-F,HMGP 5% Initiative,Generators
DR-4086-0174-R,Regular Project,Generators
DR-4086-0614-R,Regular Project,Generators
DR-4086-0265-R,Regular Project,Generators
DR-4086-0095-R,Regular Project,Generators
DR-4086-0351-F,HMGP 5% Initiative,Generators
DR-4086-0367-R,Regular Project,Generators
DR-4086-0625-R,Regular Project,Other Equipment
DR-4086-0505-F,HMGP 5% Initiative,Generators
DR-4086-0237-R,Regular Project,Generators
DR-4086-0006-P,Planning,Mitigation Planning
DR-4086-0118-R,Regular Project,Generators
DR-4086-0536-R,Regular Project,Other Equipment
DR-4086-0441-R,Regular Project,Generators
DR-4086-0644-R,Regular Project,Other Equipment
DR-4086-0629-R,Regular Project,Generators
DR-4086-0634-F,HMGP 5% Initiative,Generators
DR-4086-0393-F,HMGP 5% Initiative,Generators
DR-4086-0147-R,Regular Project,Generators
DR-4086-0603-R,Regular Project,Generators
DR-4086-0461-R,Regular Project,Other Equipment
DR-4086-0377-R,Regular Project,Generators
DR-4086-0291-F,HMGP 5% Initiative,Generators
DR-4086-0195-R,Regular Project,Generators
DR-4086-0646-R,Regular Project,Other Equipment
DR-4086-0168-R,Regular Project,Generators
DR-4086-0252-R,Regular Project,Generators
DR-4086-0396-R,Regular Project,Generators
DR-4086-0329-F,HMGP 5% Initiative,Generators
DR-4086-0379-R,Regular Project,Generators
DR-4086-0112-R,Regular Project,Generators
DR-4086-0161-R,Regular Project,Generators
DR-4086-0123-R,Regular Project,Generators
DR-4086-0345-R,Regular Project,Generators
DR-4086-0503-F,HMGP 5% Initiative,Generators
DR-4086-0444-F,HMGP 5% Initiative,Generators
DR-4086-0290-R,Regular Project,Generators
DR-4086-0304-R,Regular Project,Generators
DR-4086-0230-R,Regular Project,Generators
DR-4086-0395-R,Regular Project,Generators
DR-4086-0433-F,HMGP 5% Initiative,Generators
DR-4086-0413-R,Regular Project,Generators
DR-4086-0635-F,HMGP 5% Initiative,Generators
DR-4086-0332-F,HMGP 5% Initiative,Generators
DR-4086-0159-R,Regular Project,Generators
DR-4086-0637-R,Regular Project,Generators
DR-4086-0278-R,Regular Project,Generators
DR-4407-0046-R,Regular Project,Advanced Assistance
DR-4325-0011-F,HMGP 5% Initiative,Warning Systems
DR-4325-0009-F,HMGP 5% Initiative,Warning Systems
DR-4325-0016-F,HMGP 5% Initiative,Warning Systems
DR-4308-0012-R,Regular Project,Seismic Retrofit
DR-4273-0029-R,Regular Project,Generators
DR-4085-0015-F,HMGP 5% Initiative,Warning Systems
DR-4325-0005-F,HMGP 5% Initiative,Warning Systems
DR-4325-0004-F,HMGP 5% Initiative,Warning Systems
DR-4308-0017-F,HMGP 5% Initiative,Miscellaneous
DR-4308-0022-P,Planning,Mitigation Planning
DR-4308-0019-P,Planning,Mitigation Planning
DR-4308-0015-F,HMGP 5% Initiative,Warning Systems
DR-4308-0014-F,HMGP 5% Initiative,Generators
DR-4308-0021-P,Planning,Mitigation Planning
DR-4308-0020-P,Planning,Mitigation Planning
DR-4273-0024-R,Regular Project,Generators
DR-4273-0004-F,HMGP 5% Initiative,Codes and Standards
DR-4273-0020-R,Regular Project,Generators
DR-4273-0023-R,Regular Project,Generators
DR-4273-0018-R,Regular Project,Generators
DR-4273-0021-R,Regular Project,Generators
DR-4273-0017-R,Regular Project,Generators
DR-4273-0030-R,Regular Project,Generators
DR-4273-0005-P,Planning,Mitigation Planning
DR-4273-0028-R,Regular Project,Generators
DR-4273-0027-R,Regular Project,Generators
DR-4085-0052-R,Regular Project,Flood Control
DR-4085-0024-P,Planning,Mitigation Planning
DR-4085-0022-P,Planning,Mitigation Planning
DR-4085-0034-P,Planning,Mitigation Planning
DR-4085-0033-P,Planning,Mitigation Planning
DR-4085-0007-F,HMGP 5% Initiative,Education and Awareness
DR-4085-0025-P,Planning,Mitigation Planning
DR-4273-0085-R,Regular Project,Generators
DR-4273-0025-R,Regular Project,Generators
DR-4273-0026-R,Regular Project,Generators
DR-4085-0029-P,Planning,Mitigation Planning
DR-4086-0256-R,Regular Project,Wind Retrofit
DR-4283-0007-R,Regular Project,Wind Retrofit
DR-4150-0005-F,HMGP 5% Initiative,Warning Systems
DR-4281-0006-F,HMGP 5% Initiative,Warning Systems
DR-4182-0012-R,Regular Project,Landslide Stabilization
DR-4299-0032-F,HMGP 5% Initiative,Generators
DR-4240-0014-P,Planning,Mitigation Planning
DR-4240-0022-P,Planning,Mitigation Planning
DR-4086-0141-R,Regular Project,Generators
DR-4307-0004-R,Regular Project,Generators
DR-4086-0343-F,HMGP 5% Initiative,Generators
DR-4207-0008-R,Regular Project,Generators
DR-4198-0001-F,HMGP 5% Initiative,Other
DR-4088-0001-R,Regular Project,Seismic Retrofit
DR-4150-0010-R,Regular Project,Safe Room/Wind Shelter
DR-4093-0002-R,Regular Project,Acquisitions
DR-4140-0002-P,Planning,Mitigation Planning
DR-4156-0008-R,Regular Project,Generators
DR-4108-0003-R,Regular Project,Generators
